"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037221601,2010,3871,1938,1933,50.0645827951434,31.4,63.5,5,63.6725697999705,4.7,31571,46303,31.5,95.6,69.0835850956697,4.8,3.6,88.9937106918239,11.0062893081761,0
6037222001,2010,3305,1646,1659,49.803328290469,29.5,64.5,6,52.8185186795782,6.2,35521,60366,32.4,92.8,47.0401691331924,4.48,3.07,85.3448275862069,14.6551724137931,0
6037237201,2010,4352,2003,2349,46.0248161764706,49.3,48.3,2.4,68.2318664339587,8.7,34722,41074,21.7,94.6,49.5592556317336,4.44,4.56,88.9558232931727,11.0441767068273,0
6037239201,2010,3408,1631,1777,47.8579812206573,41.4,56.7,2,55.2456144338645,2.4,23750,34632,44.8,92,66.8367346938776,3.08,4.04,89.7703549060543,10.2296450939457,0
6037239601,2010,3649,1839,1810,50.3973691422308,41.8,54.9,3.3,48.3263902662829,7,32860,40174,41.9,87.1,58.4178498985801,4.47,4.14,77.9661016949153,22.0338983050847,0
6037980019,2010,68,39,29,57.3529411764706,0,27.9,72,0,0,96250,92313,0,100,0,1.7,NA,70.7692307692308,29.2307692307692,0
6037980031,2010,932,896,36,96.137339055794,0.9,94.9,4.3,66.5691944961226,0,78173,72367,NA,100,44.8275862068966,NA,NA,0,100,1
6037272100,2010,4066,1974,2092,48.5489424495819,19,74,6.8,49.176669072454,7.4,69830,106166,6.1,95.3,32.2665267576076,2.48,1.76,87.5755909840572,12.4244090159428,0
6037221110,2010,3408,1323,2085,38.8204225352113,31.8,62.7,5.5,58.6416730035928,6.4,21637,28329,37.5,94.4,88.2710686359687,2.96,3.01,89.1783567134269,10.8216432865731,0
6037212303,2010,3549,1948,1601,54.8887010425472,27.6,70.3,2.1,65.9750173892836,6.8,28185,34459,23.9,94.2,94.1563184806428,NA,2.75,82.2137404580153,17.7862595419847,0
6037201200,2010,2998,1585,1413,52.8685790527018,34.4,58.1,7.3,56.5131034654635,5,45613,52468,21.5,94.5,64.4329896907217,4.89,3.72,90.3566710700132,9.64332892998679,0
6037191203,2010,2646,1371,1275,51.8140589569161,18.1,72.7,9.1,67.6475965375652,7.7,28081,36513,18.1,90.2,78.673700075358,3.48,2.02,82.4185248713551,17.5814751286449,0
6037135201,2010,2358,1233,1125,52.2900763358779,28,61.6,10.4,39.0023387799353,4.4,74919,99647,5.7,97.3,13.7349397590361,3.12,1.72,96.989966555184,3.01003344481605,0
